Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
NTBK;PT Nusatama Berkah Tbk;09-Feb-22;Industrials;Machinery; 70.000 ; 2.700.000.000 ; 100 ;35%;3%;-33%;-50%;-50%;149%;62%;93%;574%;"DANATAMA MAKMUR SEKURITAS (II); SURYA FAJAR SEKURITAS";DOLI BAMBANG SULISTIYANTO DADANG & ALI;IMRAN MUNTAZ & CO;;;;;;02-Feb-21;08-Feb-21;01-Mar-21;30-Jul-21;31-Jan-22;; 242 ; 246 ; 202 ; 161 ; 134 ; 50 ; 50 ;;;;2021;;  ;  ; 1.416.494.380.208 ; 1.750.684.346.496 ;  ;;  ;  ; 739.553.797.159 ; 692.854.556.014 ;  ;;  ;  ; 283.683.263.134 ; 597.431.790.958 ;  ;;  ;  ; 18.613.673.922 ; 39.842.204.008 ;  ;;
ADCP;PT Adhi Commuter Properti Tbk;23-Feb-22;Properties & Real Estate;Real Estate Management & Development; 288.889 ; 22.222.222.200 ; 130 ;-6%;-28%;-28%;-42%;-49%;6%;0%;5%;-19%;"CIMB NIAGA SEKURITAS; MIRAE ASSET SEKURITAS INDONESIA (YP); MAYBANK SEKURITAS INDONESIA; SUCOR SEKURITAS (AZ); INDOSURYA BERSINAR SEKURITAS (IP); PANIN SEKURITAS TBK. (GR); YULIE SEKURITAS INDONESIA TBK (RS)";AMIR ABADI JUSUF, ARYANTO, MAWAR & PARTNERS (RSM INDONESIA);ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;Yes;;;08-Feb-21;15-Feb-21;05-Mar-21;06-Aug-21;07-Feb-22;; 8.850 ; 18.250 ; 17.425 ; 26.975 ; 22.375 ; 18.875 ; 18.950 ;;;;2021;;  ;  ; 534.849.965.041 ; 1.242.659.566.060 ;  ;;  ;  ; 224.386.353.546 ; 314.401.056.378 ;  ;;  ;  ; 107.856.460.191 ; 126.440.221.235 ;  ;;  ;  ; 30.796.841.555 ; 20.933.148.187 ;  ;;
SMKM;PT Sumber Mas Konstruksi Tbk;09-Mar-22;Infrastructures;Heavy Constructions & Civil Engineering; 66.000 ; 1.253.000.000 ; 264 ;-10%;-33%;-2%;-7%;213%;-9%;-92%;13%;-6%;ERDIKHA ELIT SEKURITAS (AO);KOSASIH, NURDYAMAN, MULYADI, TJAHJO & PARTNERS;FAHMY HOESSEN & PARTNERS;;;;;;08-Mar-21;15-Mar-21;07-Apr-21;07-Sep-21;07-Mar-22;; 159 ; 159 ; 124 ; 89 ; 83 ; 144 ; 204 ;;;;2021;;  ;  ; 539.154.214.761 ; 534.312.940.102 ;  ;;  ;  ; 263.763.651.821 ; 210.780.521.235 ;  ;;  ;  ; 86.674.794.825 ; 56.762.452.276 ;  ;;  ;  ;-373.474.853 ;-22.824.267.073 ;  ;;
STAA;PT Sumber Tani Agung Resources Tbk;10-Mar-22;Consumer Non-Cyclicals;Agricultural Products; 542.024 ; 10.903.372.600 ; 600 ;25%;36%;52%;93%;67%;20%;-14%;3%;3%;"CIMB NIAGA SEKURITAS; DBS VICKERS SEKURITAS INDONESIA (DP)";PURWANTONO, SUNGKORO & SURJA (ERNST & YOUNG GLOBAL LIMITED);HISWARA BUNJAMIN & TANDJUNG;;;;;;10-Mar-21;17-Mar-21;09-Apr-21;09-Sep-21;09-Mar-22;; 135 ; 380 ; 498 ; 1.175 ; 4.040 ; 50 ; 50 ;;;;2021;;  ;  ; 406.998.941.725 ; 626.016.041.608 ;  ;;  ;  ; 27.134.228.109 ; 34.340.541.803 ;  ;;  ;  ; 27.990.807.831 ; 97.012.049.303 ;  ;;  ;  ; 4.008.172.583 ; 20.953.536.063 ;  ;;
NANO;PT Nanotech Indonesia Global Tbk;10-Mar-22;Consumer Non-Cyclicals;Personal Care Products; 128.500 ; 4.285.000.000 ; 100 ;10%;60%;-11%;-49%;-74%;326%;270%;67%;-3%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANDREAS, SHEILA & PARTNERS;;;;;;29-Mar-21;05-Apr-21;28-Apr-21;28-Sep-21;28-Mar-22;; 202 ; 320 ; 730 ; 900 ; 500 ; 905 ; 995 ;;;;2021;;  ;  ; 197.969.794.313 ; 215.362.926.668 ;  ;;  ;  ; 55.746.105.547 ; 54.205.000.499 ;  ;;  ;  ; 8.681.888.591 ; 4.446.533.162 ;  ;;  ;  ;-1.557.647.451 ;-698.129.987 ;  ;;
BIKE;PT Sepeda Bersama Indonesia Tbk;21-Mar-22;Consumer Cyclicals;Sport Equipment & Hobbies Goods; 54.967 ; 1.293.334.000 ; 170 ;34%;38%;1%;41%;22%;9%;-65%;26%;-14%;"TRIMEGAH SEKURITAS INDONESIA TBK. (LG); MIRAE ASSET SEKURITAS INDONESIA (YP); NH KORINDO SEKURITAS INDONESIA (XA)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;ANDREAS SHEILA & PARTNERS;;;;;;30-Mar-21;06-Apr-21;29-Apr-21;29-Sep-21;29-Mar-22;; 312 ; 545 ; 545 ; 525 ; 565 ; 218 ; 218 ;;;;2021;;  ;  ; 129.665.050.015 ; 215.935.493.023 ;  ;;  ;  ; 77.739.118.920 ; 82.843.424.985 ;  ;;  ;  ; 105.778.010.585 ; 52.519.944.200 ;  ;;  ;  ; 27.929.467.988 ; 3.626.955.527 ;  ;;
WIRG;PT WIR ASIA Tbk;04-Apr-22;Technology;Software; 431.894 ; 11.919.159.000 ; 168 ;35%;227%;555%;152%;-11%;240%;135%;180%;95%;CIPTADANA SEKURITAS ASIA (KI);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS (CROWE GLOBAL);ASSEGAF HAMZAH & PARTNERS;;;;;;07-Apr-21;13-Apr-21;06-May-21;06-Oct-21;06-Apr-22;; 110 ; 160 ; 106 ; 80 ; 103 ; 50 ; 50 ;;;;2021;;  ;  ; 37.652.237.860 ; 65.395.339.444 ;  ;;  ;  ; 25.709.156.251 ; 25.388.152.808 ;  ;;  ;  ; 12.947.648.325 ; 18.512.287.663 ;  ;;  ;  ; 848.926.606 ; 1.219.166.965 ;  ;;
SICO;PT Sigma Energy Compressindo Tbk;08-Apr-22;Energy;Oil, Gas & Coal Supports; 62.100 ; 910.000.000 ; 230 ;10%;-16%;-32%;-21%;-40%;102%;3%;12%;87%;NH KORINDO SEKURITAS INDONESIA (XA);JIMMY BUDHI & PARTNERS;NUGROHO, PANJAITAN & PARTNERS;;;;;;09-Apr-21;15-Apr-21;07-May-21;08-Oct-21;08-Apr-22;; 137 ; 103 ; 58 ; 50 ; 52 ; 71 ; 72 ;;;;2021;;  ;  ; 20.940.463.696 ; 34.248.530.031 ;  ;;  ;  ; 8.613.495.210 ; 3.361.974.235 ;  ;;  ;  ; 5.361.220.388 ; 3.942.711.000 ;  ;;  ;  ; 286.212.378 ; 224.874.758 ;  ;;
GOTO;PT GoTo Gojek Tokopedia Tbk;11-Apr-22;Technology;Online Applications & Services; 13.727.889 ; 1.184.363.929.502 ; 338 ;13%;12%;-30%;-28%;-72%;-10%;2%;150%;80%;"INDO PREMIER SEKURITAS (PD); MANDIRI SEKURITAS (CC); TRIMEGAH SEKURITAS INDONESIA TBK. (LG); NILAI INTI SEKURITAS (RO); CIMB NIAGA SEKURITAS; CREDIT SUISSE SEKURITAS INDONESIA (CS); CLSA SEKURITAS INDONESIA (KZ); DEUTSCHE SEKURITAS INDONESIA (DB); ALDIRACITA SEKURITAS INDONESIA (PP); BNI SEKURITAS (NI); PANIN SEKURITAS TBK. (GR); SUCOR SEKURITAS (AZ); KB VALBURY SEKURITAS (CP)";TANUDIREDJA, WIBISANA, RINTIS & PARTNERS;ASSEGAF HAMZAH & PARTNERS;;;;;;12-Apr-21;16-Apr-21;11-May-21;11-Oct-21;11-Apr-22;; 270 ; 655 ; 775 ; 775 ; 660 ; 550 ; 615 ;;;;2021;;  ;  ; 12.323.970.000.000 ; 11.924.087.000.000 ;  ;;  ;  ; 5.667.688.000.000 ; 5.123.782.000.000 ;  ;;  ;  ; 1.360.032.000.000 ; 1.351.171.000.000 ;  ;;  ;  ;-347.143.000.000 ; 144.023.000.000 ;  ;;
TLDN;PT Teladan Prima Agro Tbk;12-Apr-22;Consumer Non-Cyclicals;Agricultural Products; 300.359 ; 12.946.530.200 ; 580 ;6%;1%;17%;0%;-14%;14%;-4%;23%;9%;"BNI SEKURITAS (NI); CIMB NIAGA SEKURITAS";PURWANTONO, SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;Yes;;;14-Apr-21;20-Apr-21;11-May-21;13-Oct-21;13-Apr-22;; 135 ; 148 ; 108 ; 102 ; 115 ; 65 ; 69 ;;;;2021;;  ;  ; 318.901.725.315 ; 328.801.883.805 ;  ;;  ;  ; 173.950.391.453 ; 181.348.940.341 ;  ;;  ;  ; 335.061.177.935 ; 85.533.084.338 ;  ;;  ;  ; 5.353.880.502 ; 2.501.609.602 ;  ;;
MTMH;PT Murni Sadar Tbk;20-Apr-22;Healthcare;Healthcare Providers; 325.149 ; 2.068.526.950 ; 1.280 ;25%;21%;27%;51%;18%;24%;-13%;-16%;-50%;"BCA SEKURITAS (SQ); CIPTADANA SEKURITAS ASIA (KI)";HENDRAWINATA HANNY ERWIN & SUMARGO (KRESTON HHES);ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;05-May-21;11-May-21;04-Jun-21;04-Nov-21;28-Apr-22;; 110 ; 82 ; 59 ; 51 ; 106 ; 145 ; 146 ;;;;2021;;  ;  ; 15.958.265.407 ; 46.851.860.630 ;  ;;  ;  ; 8.979.444.351 ; 8.123.544.299 ;  ;;  ;  ; 4.318.868.546 ; 6.339.625.975 ;  ;;  ;  ;-715.349.563 ; 328.245.275 ;  ;;
IBOS;PT Indo Boga Sukses Tbk;25-Apr-22;Consumer Non-Cyclicals;Processed Foods; 160.736 ; 8.036.800.000 ; 100 ;10%;18%;21%;-8%;152%;82%;17%;26%;75%;"NH KORINDO SEKURITAS INDONESIA (XA); SURYA FAJAR SEKURITAS";KANAKA PURADIREDJA, SUHARTONO;ANDREAS, SHEILA & PARTNERS;;;;;;24-May-21;31-May-21;23-Jun-21;23-Nov-21;23-May-22;; 159 ; 248 ; 180 ; 92 ; 238 ; 50 ; 50 ;31-May-23;1;;2021;;  ;  ; 88.175.315.446 ; 171.964.714.423 ;  ;;  ;  ; 58.172.086.321 ; 51.231.154.241 ;  ;;  ;  ; 13.458.152.492 ; 18.833.656.070 ;  ;;  ;  ;-9.346.253.962 ;-5.417.620.009 ;  ;;
WINR;PT Winner Nusantara Jaya Tbk;25-Apr-22;Properties & Real Estate;Real Estate Management & Development; 150.000 ; 5.235.200.000 ; 100 ;35%;112%;76%;-50%;-50%;59%;5%;-5%;-96%;"AARTHA SEKURITAS INDONESIA (SH); MIRAE ASSET SEKURITAS INDONESIA (YP); PANCA GLOBAL SEKURITAS (PG); YUANTA SEKURITAS INDONESIA (FS)";JAMALUDIN, ARDI, SUKIMTO & PARTNERS;IMRAN MUNTAZ;;;;;;08-Jun-21;14-Jun-21;07-Jul-21;07-Dec-21;07-Jun-22;; 148 ; 190 ; 106 ; 264 ; 195 ; 43 ; 46 ;;;;2021;;  ;  ; 82.241.399.038 ; 140.886.986.952 ;  ;;  ;  ; 47.682.954.756 ; 53.110.004.976 ;  ;;  ;  ; 30.391.691.664 ; 43.085.611.181 ;  ;;  ;  ; 572.531.224 ; 2.295.060.706 ;  ;;
OLIV;PT Oscar Mitra Sukses Sejahtera Tbk;17-May-22;Consumer Cyclicals;Household Goods; 40.000 ; 1.900.000.000 ; 100 ;1%;0%;1%;-70%;-79%;128%;14%;14%;13%;DANATAMA MAKMUR SEKURITAS (II);DOLI BAMBANG SULISTIYANTO DADANG & ALI;IMRAN MUNTAZ & CO;;;;;;10-Jun-21;16-Jun-21;09-Jul-21;09-Dec-21;09-Jun-22;; 168 ; 202 ; 284 ; 122 ; 180 ; 52 ; 51 ;;;;2021;;  ;  ; 42.529.698.841 ; 72.583.628.924 ;  ;;  ;  ; 21.010.557.228 ; 14.353.740.506 ;  ;;  ;  ; 7.814.435.249 ; 4.739.153.258 ;  ;;  ;  ;-1.956.201.696 ; 14.558.246.805 ;  ;;
ASHA;PT Cilacap Samudera Fishing Industry Tbk;27-May-22;Consumer Non-Cyclicals;Agricultural Products; 125.000 ; 5.000.000.000 ; 100 ;35%;280%;86%;35%;-4%;85%;-45%;124%;3272%;"KGI SEKURITAS INDONESIA (HD); KOREA INVESTMENT AND SEKURITAS INDONESIA";KANAKA PURADIREDJA, SUHARTONO;ADAMS & CO., COUNSELLORS AT LAW;;;;;;10-Jun-21;16-Jun-21;09-Jul-21;09-Dec-21;09-Jun-22;; 135 ; 380 ; 540 ; 130 ; 70 ; 50 ;#N/A;;;;2021;;  ;  ; 974.900.992.394 ; 1.071.534.652.406 ;  ;;  ;  ; 800.454.380.002 ; 722.583.689.404 ;  ;;  ;  ; 102.934.249.728 ; 146.836.979.800 ;  ;;  ;  ; 11.141.608.153 ; 15.335.362.266 ;  ;;
SWID;PT Saraswanti Indoland Development Tbk;07-Jul-22;Properties & Real Estate;Real Estate Management & Development; 68.000 ; 5.385.000.000 ; 200 ;8%;-19%;-28%;-50%;-60%;19%;-26%;6%;12%;SHINHAN SEKURITAS INDONESIA (AH);PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;HANAFIAH PONGGAWA & PARTNERS;;;;;;28-Jun-21;02-Jul-21;27-Jul-21;27-Dec-21;27-Jun-22;; 755 ; 750 ; 690 ; 545 ; 348 ; 342 ; 360 ;;;;2021;;  ;  ; 600.236.306 ; 713.698.147 ;  ;;  ;  ; 505.893.585 ; 524.450.823 ;  ;;  ;  ; 130.079.855 ; 142.357.238 ;  ;;  ;  ; 26.227.669 ; 32.608.147 ;  ;;
CHEM;PT Chemstar Indonesia Tbk;08-Jul-22;Basic Materials;Chemicals; 75.000 ; 1.700.000.000 ; 150 ;3%;-17%;-18%;-6%;-29%;52%;-48%;42%;-46%;NH KORINDO SEKURITAS INDONESIA (XA);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ADNAN BUYUNG NASUTION & PARTNERS LAW FIRM;;;;;;30-Jun-21;06-Jul-21;29-Jul-21;29-Dec-21;29-Jun-22;; 132 ; 191 ; 138 ; 114 ; 110 ; 126 ; 128 ;;;;2021;;  ;  ; 24.033.756.766 ; 30.804.172.061 ;  ;;  ;  ; 6.813.876.959 ; 7.889.177.560 ;  ;;  ;  ; 5.335.439.596 ; 8.735.538.764 ;  ;;  ;  ;-1.404.608.177 ; 1.015.557.447 ;  ;;
ARKO;PT Arkora Hydro Tbk;08-Jul-22;Infrastructures;Electric Utilities; 182.669 ; 2.928.495.000 ; 300 ;-7%;5%;98%;88%;113%;38%;6%;25%;6%;"LOTUS ANDALAN SEKURITAS (YJ); MIRAE ASSET SEKURITAS INDONESIA (YP)";IMELDA & PARTNERS;ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;30-Jun-21;06-Jul-21;29-Jul-21;29-Dec-21;29-Jun-22;; 4.200 ; 3.450 ; 3.350 ; 3.540 ; 3.500 ; 3.390 ; 3.240 ;;;;2021;;  ;  ; 21.537.936.008.112 ; 22.606.387.787.702 ;  ;;  ;  ; 19.648.095.743.949 ; 20.065.765.144.143 ;  ;;  ;  ; 583.270.103.927 ; 638.305.972.785 ;  ;;  ;  ; 50.072.631.812 ; 87.223.404.937 ;  ;;
TRGU;PT Cerestar Indonesia Tbk;08-Jul-22;Consumer Non-Cyclicals;Processed Foods; 315.000 ; 7.945.412.700 ; 210 ;25%;124%;62%;5%;2%;78%;91%;6%;-420%;SEMESTA INDOVEST SEKURITAS (MG);TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS;MACALLOHARLIN MENDROFA ADVOCATES;;;;;;06-Jul-21;12-Jul-21;05-Aug-21;05-Jan-22;05-Jul-22;; 424 ; 1.025 ; 1.030 ; 785 ; 590 ; 354 ; 388 ;;;;2021;;  ;  ; 2.162.536.834.465 ; 2.401.819.350.378 ;  ;;  ;  ; 1.112.837.448.853 ; 1.184.772.219.543 ;  ;;  ;  ; 464.609.052.476 ; 902.178.465.465 ;  ;;  ;  ; 20.229.087.407 ; 197.040.157.495 ;  ;;
DEWI;PT Dewi Shri Farmindo Tbk;18-Jul-22;Consumer Non-Cyclicals;Agricultural Products; 70.000 ; 2.000.000.000 ; 100 ;35%;48%;78%;124%;-32%;88%;22%;67%;19%;"KGI SEKURITAS INDONESIA (HD); BINAARTHA SEKURITAS (AR)";JOJO SUNARJO & PARTNERS;ARFP LAWYERS;;;;;;08-Jul-21;14-Jul-21;06-Aug-21;07-Jan-22;07-Jul-22;; 220 ; 300 ; 412 ; 338 ; 77 ; 79 ; 79 ;04-Apr-23;2;;2021;;  ;  ; 117.255.344.737 ; 211.972.691.131 ;  ;;  ;  ; 83.583.557.062 ; 97.920.419.211 ;  ;;  ;  ; 48.403.956.879 ; 22.873.073.403 ;  ;;  ;  ; 4.848.652.302 ;-10.336.673.678 ;  ;;
AXIO;PT Tera Data Indonusa Tbk;20-Jul-22;Technology;Computer Hardware; 145.618 ; 5.840.126.500 ; 140 ;35%;54%;103%;43%;-4%;57%;38%;3%;-33%;"BNI SEKURITAS (NI); CIMB NIAGA SEKURITAS";HLB HADORI SUGIARTO ADI & PARTNERS;HANAFIAH PONGGAWA & PARTNERS (DENTONS HPRP);;;;;;09-Jul-21;15-Jul-21;06-Aug-21;07-Jan-22;08-Jul-22;; 135 ; 318 ; 153 ; 71 ; 85 ; 294 ; 272 ;;;;2021;;  ;  ; 189.714.865.928 ; 177.009.470.871 ;  ;;  ;  ; 82.934.785.029 ; 43.924.450.718 ;  ;;  ;  ; 178.249.085.582 ; 148.561.552.104 ;  ;;  ;  ;-1.822.934.784 ; 26.294.270.831 ;  ;;
KRYA;PT Bangun Karya Perkasa Jaya Tbk;25-Jul-22;Infrastructures;Heavy Constructions & Civil Engineering; 40.625 ; 1.625.000.000 ; 125 ;-6%;-18%;73%;196%;-35%;26%;-25%;93%;121%;INDO CAPITAL SEKURITAS;PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;DANIEL DJOKO TARLIMAN S.H., M.S., & REKAN;;;;;;27-Jul-21;02-Aug-21;26-Aug-21;26-Jan-22;26-Jul-22;; 110 ; 160 ; 474 ; 328 ; 143 ; 102 ; 148 ;;;;2021;;  ;  ; 48.984.364.180 ; 96.173.217.831 ;  ;;  ;  ; 18.689.323.833 ; 17.965.081.934 ;  ;;  ;  ; 338.741.071.082 ; 939.209.437.028 ;  ;;  ;  ; 1.576.232.372 ; 5.572.267.609 ;  ;;
HATM;PT Habco Trans Maritima Tbk;26-Jul-22;Transportation & Logistic;Logistics & Deliveries; 140.000 ; 7.000.000.000 ; 160 ;2%;18%;181%;81%;33%;64%;-75%;47%;58%;NH KORINDO SEKURITAS INDONESIA (XA);GIDEON ADI & PARTNERS - MGI GAR;NASOETION & ATYANTO;;;;;;06-Aug-21;13-Aug-21;03-Sep-21;04-Feb-22;05-Aug-22;; 1.060 ; 955 ; 895 ; 382 ; 318 ; 208 ; 224 ;;;;2021;;  ;  ; 2.593.657.437.000 ; 4.043.953.825.000 ;  ;;  ;  ; 985.821.769.000 ; 1.027.831.361.000 ;  ;;  ;  ; 641.280.740.000 ; 863.620.349.000 ;  ;;  ;  ;-1.026.152.090.000 ;-767.030.970.000 ;  ;;
RCCC;PT Utama Radar Cahaya Tbk;02-Aug-22;Transportation & Logistic;Logistics & Deliveries; 20.250 ; 750.000.000 ; 135 ;-10%;6%;-15%;-1%;13%;326%;392%;72%;24%;ELIT SUKSES SEKURITAS;JOJO SUNARJO & PARTNERS;KANTOR HUKUM ALJUDFRI GILL PRISCILLA RIZKI;;;;;;01-Sep-21;07-Sep-21;30-Sep-21;25-Feb-22;31-Aug-22;; 374 ; 292 ; 264 ; 242 ; 242 ; 274 ; 264 ;;;;2021;;  ;  ; 378.397.974.553 ; 539.848.537.272 ;  ;;  ;  ; 129.372.361.450 ; 113.244.187.693 ;  ;;  ;  ; 221.690.187.500 ; 296.479.718.586 ;  ;;  ;  ; 16.524.688.178 ; 28.924.325.453 ;  ;;
GULA;PT Aman Agrindo Tbk;03-Aug-22;Consumer Non-Cyclicals;Processed Foods; 53.518 ; 1.070.362.500 ; 250 ;2%;-9%;-16%;78%;34%;43%;16%;-4%;-78%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANRA & PARTNERS;;;;;;06-Sep-21;10-Sep-21;05-Oct-21;04-Mar-22;05-Sep-22;; 242 ; 188 ; 174 ; 107 ; 123 ; 107 ; 109 ;;;;2021;;  ;  ; 63.861.208.762 ; 64.396.007.495 ;  ;;  ;  ; 18.858.778.367 ; 15.141.499.067 ;  ;;  ;  ; 16.691.946.533 ; 8.338.636.320 ;  ;;  ;  ; 853.939.720 ;-5.515.109.967 ;  ;;
AMMS;PT Agung Menjangan Mas Tbk;04-Aug-22;Consumer Non-Cyclicals;Agricultural Products; 24.000 ; 1.200.000.000 ; 100 ;5%;8%;35%;-59%;-63%;49%;76%;76%;138%;INDO CAPITAL SEKURITAS;KANAKA & PARTNERS;WILLIAM & HENDRIK LAW OFFICE;;;;;;06-Sep-21;10-Sep-21;05-Oct-21;04-Mar-22;05-Sep-22;; 336 ; 610 ; 330 ; 250 ; 222 ; 157 ; 171 ;;;;2021;;  ;  ; 77.118.700.793 ; 133.517.152.741 ;  ;;  ;  ; 52.364.382.351 ; 58.339.708.639 ;  ;;  ;  ; 207.538.766.070 ; 252.478.187.657 ;  ;;  ;  ; 3.015.972.615 ; 4.059.499.045 ;  ;;
JARR;PT Jhonlin Agro Raya Tbk;04-Aug-22;Consumer Non-Cyclicals;Agricultural Products; 366.885 ; 8.000.000.000 ; 300 ;25%;68%;46%;-8%;-39%;25%;11%;659%;163%;"INVESTINDO NUSANTARA SEKURITAS (IN); PANCA GLOBAL SEKURITAS (PG); BINAARTHA SEKURITAS (AR); LOTUS ANDALAN SEKURITAS (YJ)";KANAKA PURADIREDJA, SUHARTONO (MEMBER OF NEXIA INTERNATIONAL);INFINITI & CO.;;;;;;07-Sep-21;13-Sep-21;06-Oct-21;04-Mar-22;06-Sep-22;; 1.565 ; 1.640 ; 1.740 ; 3.620 ; 7.000 ; 4.400 ; 4.200 ;;;;2021;;  ;  ; 317.128.077 ; 470.176.708 ;  ;;  ;  ; 151.945.703 ; 158.049.088 ;  ;;  ;  ; 229.389.793 ; 376.647.657 ;  ;;  ;  ; 34.575.871 ; 131.494.762 ;  ;;
RAFI;PT Sari Kreasi Boga Tbk;05-Aug-22;Consumer Cyclicals;Tourism & Recreation; 119.459 ; 3.020.290.000 ; 126 ;35%;39%;84%;-8%;-49%;239%;5%;221%;-26%;"INVESTINDO NUSANTARA SEKURITAS (IN); KB VALBURY SEKURITAS (CP)";IRFAN ZULMENDRA;WARDHANA KRISTANTO LAWYERS;;;;;;08-Sep-21;14-Sep-21;07-Oct-21;07-Mar-22;07-Sep-22;; 278 ; 402 ; 468 ; 162 ; 176 ; 81 ; 68 ;;;;2021;;  ;  ; 38.410.663.567 ; 75.146.778.025 ;  ;;  ;  ; 3.415.102.638 ; 1.081.699.346 ;  ;;  ;  ; 5.986.727.993 ; 2.679.770.606 ;  ;;  ;  ; 699.022.723 ;-5.303.478.217 ;  ;;
KKES;PT Kusuma Kemindo Sentosa Tbk;08-Aug-22;Basic Materials;Chemicals; 31.500 ; 1.500.000.000 ; 105 ;21%;13%;62%;-10%;-49%;2%;-36%;2%;-66%;MIRAE ASSET SEKURITAS INDONESIA (YP);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;WARDHANA KRISTANTO LAWYERS;;;;;;08-Sep-21;14-Sep-21;07-Oct-21;07-Mar-22;07-Sep-22;; 850 ; 815 ; 945 ; 1.055 ; 1.015 ; 905 ; 935 ;;;;2021;;  ;  ; 19.043.340.000.000 ; 19.050.044.000.000 ;  ;;  ;  ; 16.303.310.000.000 ; 16.101.633.000.000 ;  ;;  ;  ; 2.936.421.000.000 ; 3.871.160.000.000 ;  ;;  ;  ;-185.722.000.000 ; 188.323.000.000 ;  ;;
EURO;PT Estee Gold Feet Tbk;08-Aug-22;Consumer Non-Cyclicals;Personal Care Products; 35.000 ; 2.500.000.000 ; 70 ;0%;0%;0%;417%;217%;180%;35%;22%;54%;DANATAMA MAKMUR SEKURITAS (II);RICHARD RISAMBESSY AND BUDIMAN;IMRAN MUNTAZ & CO;;;Yes;;;08-Sep-21;14-Sep-21;07-Oct-21;07-Mar-22;07-Sep-22;; 2.150 ; 1.960 ; 1.690 ; 1.450 ; 1.295 ; 1.115 ; 1.100 ;;;;2021;;  ;  ; 752.742.572.092 ; 1.067.287.370.915 ;  ;;  ;  ; 265.008.937.277 ; 209.101.674.596 ;  ;;  ;  ; 197.387.839.163 ; 345.615.720.044 ;  ;;  ;  ;-11.002.657.714 ; 70.051.594.437 ;  ;;
MORA;PT Mora Telematika Indonesia;08-Aug-22;Infrastructures;Telecommunication Service; 1.000.084 ; 23.646.668.691 ; 396 ;25%;46%;48%;10%;18%;2%;-13%;11%;0%;"BNI SEKURITAS (NI); SUCOR SEKURITAS (AZ)";MIRAWATI SENSI IDRIS ;MAKES & PARTNERS;;;;;;08-Sep-21;14-Sep-21;07-Oct-21;07-Mar-22;07-Sep-22;; 242 ; 500 ; 438 ; 292 ; 224 ; 146 ; 158 ;;;;2021;;  ;  ; 195.253.619.641 ; 242.025.999.232 ;  ;;  ;  ; 45.273.176.231 ; 42.600.320.298 ;  ;;  ;  ; 54.295.542.353 ; 61.396.992.725 ;  ;;  ;  ; 2.485.917.850 ; 2.676.672.172 ;  ;;
